DATE,PX_LAST,YLD_YTM_MYLD,YTM_BID
2020/04/21,-0.158,-0.1576,-0.1171
2020/04/22,-0.166,-0.1658,-0.1337
2020/04/23,-0.164,-0.1639,-0.1233
2020/04/24,-0.164,-0.1637,-0.1231
2020/04/27,-0.128,-0.1283,-0.0974
2020/04/28,-0.153,-0.1533,-0.1077
2020/04/30,-0.15,-0.1503,-0.1096
2020/05/01,-0.153,-0.1532,-0.1012
2020/05/07,-0.142,-0.1415,-0.0898
2020/05/08,-0.158,-0.1576,-0.1112
2020/05/11,-0.136,-0.1355,-0.1081
2020/05/12,-0.179,-0.1794,-0.1387
2020/05/13,-0.144,-0.1442,-0.1421
2020/05/14,-0.136,-0.1364,-0.1336
2020/05/15,-0.132,-0.132,-0.1299
2020/05/18,-0.126,-0.1264,-0.0929
2020/05/19,-0.161,-0.1605,-0.1138
2020/05/20,-0.163,-0.1631,-0.1165
2020/05/21,-0.161,-0.1612,-0.1221
2020/05/22,-0.169,-0.1692,-0.1227
2020/05/25,-0.113,-0.113,-0.0914
2020/05/26,-0.16,-0.1603,-0.1146
2020/05/27,-0.123,-0.1226,-0.113
2020/05/28,-0.118,-0.1178,-0.1095
2020/05/29,-0.122,-0.1222,-0.1144
2020/06/01,-0.101,-0.101,-0.0707
2020/06/02,-0.107,-0.1073,-0.0679
2020/06/03,-0.107,-0.1069,-0.0693
2020/06/04,-0.107,-0.1071,-0.0695
2020/06/05,-0.108,-0.1082,-0.0624
2020/06/08,-0.102,-0.1022,-0.0758
2020/06/09,-0.154,-0.1543,-0.1086
2020/06/10,-0.147,-0.1467,-0.1099
2020/06/11,-0.157,-0.1565,-0.1107
2020/06/12,-0.163,-0.1629,-0.126
2020/06/15,-0.132,-0.1318,-0.1
2020/06/16,-0.155,-0.1553,-0.1184
2020/06/17,-0.162,-0.1616,-0.1161
2020/06/18,-0.166,-0.1658,-0.1251
2020/06/19,-0.167,-0.1667,-0.12
2020/06/22,-0.13,-0.1298,-0.1018
